summer,winter,name,fall,spring,number,description
 , ,CMOS Radio Frequency Integrated Circuit Design,[u'Section 01'], ,EE226,"[u'Covers narrowband and high-frequency techniques, noise, distortion, nonlinearities, low-noise amplifiers, power amplifiers, mixers, receivers, and transmitters for wireless communications. Topics are presented in the context of integrated designs in CMOS, but topics are fundamental and widely applicable.  Prerequisite(s): course 172 or 221 or permission of instructor.', u'5 Credits']"
 , ,Physical Design of Micro- and Opto-Electronic Packages, , ,EE224,"[u'Micro- and opto-electronic packaging and materials; mechanical properties and behavior, thermal stress in dissimilar materials, and predictive modeling. Design for reliability, dynamic response to shocks and vibrations; reliability evaluations and testing; plastic packages of IC devices; photonics packages, fiber optics structures, and new frontiers. Enrollment restricted to graduate students. The Staff', u'5 Credits']"
 ,[u'Section 01'],High-Speed Low-Power Integrated Circuit Design, , ,EE222,"[u'Digital integrated circuit design covered with an emphasis on high-speed and low-power applications. Covers signaling techniques and circuits including transmitters and receivers, with emphasis on on-chip interconnect, timing fundamentals and timing circuits. Theoretical fundamentals of phase locked loops and design issues of implementation addressed. Course has a project design component. Interview to assess technical skills of student. Enrollment restricted to electrical engineering and computer engineering graduate students. Enrollment limited to 20. May be repeated for credit. W. Liu', u'5 Credits']"
 ,[u'Section 50'],Basics of Electronics Reliability, , ,EE225,"[u'Basic concepts of reliability engineering taught in application to microelectronic and photonic materials, assemblies, and packages and systems. Emphasis on the physics and mechanics of failure physical design for reliability predictive modeling and accelerated testing, with numerous practical examples and illustrations.  Prerequisite(s): basic calculus; electronic and photonic devices and systems. Enrollment restricted to graduate students.  The Staff', u'5 Credits']"
 , ,Advanced Solid State Devices, ,"[u'Section 50', u'Section 01']",EE223,"[u'Solid-state devices advance rapidly by employing new materials, new architecture, and new functional principles. Class offers opportunities to learn the latest advancements in solid-state devices (e.g., electronic, optoelectronic, photonic devices, and smart sensors) viewed from various scientific, technological, and engineering aspects, such as energy conversion and computation.  N. Kobayashi', u'5 Credits']"
 , ,Nanocharacterization of Materials, ,"[u'Section 01', u'Section 50']",EE213,"[u'Covers the many characterization techniques used to characterize materials from volumes less than one cubic micrometer, including the basic physics of each method, the methodology used to get quantitative results, and the advantages and limitations of each technique.  Pre-requisite(s: Enrollment restricted to graduate students, or to undergraduates majoring in engineering or science by permission of instructor.', u'5 Credits']"
 , ,Advanced Analog Integrated Circuits, ,[u'Section 01'],EE221,"[u'Analog integrated circuit design with emphasis on fundamentals of designing linear circuits using CMOS. Covers MOS devices and device modeling, current mirrors, op-amp design, op-amp compensation, comparators, multipliers, voltage references, sample-and-holds, noise, and an introduction to more complicated systems using these building blocks, such as phase locked loops and analog-to-digital converters. If time permits, integrated circuit layout issues and device/circuit fabrication. Students cannot receive credit for this course and course 172. Prerequisite(s): course 171 or equivalent; course 178 or equivalent recommended. Enrollment limited to 20. K. Pedrotti, W. Liu', u'5 Credits']"
 , ,Micro-Electro-Mechanical Systems (MEMS) Design, ,[u'Section 01'],EE215,"[u'Introduction to MEMS technology: covers basic microfabrication technologies, the governing physics for MEMS devices in different energy domains (mechanical, electrical, optical, thermal, and fluidic). Fabrication and design of MEMS devices illustrated using examples of existing research prototypes and commercial products. Students design, lay out, and fabricate an optical MEMS deformable mirror device for applications in adaptive optics. Students are billed a materials fee.  Prerequisite(s): courses 135, 145, and 211; and Physics 5A, 5B, and 5C. Enrollment restricted to seniors and graduate students. May be repeated for credit. J. Kubby', u'5 Credits']"
 ,[u'Section 01'],Introduction to Nanotechnology, , ,EE211,"[u'Introduction to underlying principles of nanoscience and nanotechnology. Intended for multidisciplinary audience with a variety of backgrounds. Introduces scientific principles and laws relevant on the nanoscale. Discusses applications in engineering, physics, chemistry, and biology. Prerequisite(s): course 145 or consent of instructor. Enrollment limited to 35. H. Schmidt', u'5 Credits']"
 , ,Nanomaterials and Nanometer-scale Device,"[u'Section 01', u'Section 50']", ,EE216,"[u'Materials controlled at nanometer-scale will revolutionize existing technologies. Course offers opportunities of learning materials that exhibit peculiar physical characteristics at the nanometer scales. Course also includes discussions of unique device architecture based on materials crafted at the nanometer scale.  N. Kobayashi', u'5 Credits']"
 ,[u'Section 01'],Research and Teaching in Electrical Engineering, , ,EE200,"[u'Basic teaching techniques for TAs: responsibilities and rights, resource materials, computer security, leading discussion or lab sessions, presentations techniques, maintaining class records, electronic handling of homework, and grading. Examines research and professional training: use of library and online databases, technical typesetting, writing journal and conference papers, publishing, giving talks, and ethical issues. Enrollment restricted to graduate students. C. Gu', u'3 Credits']"
 , ,Introduction to BioMEMS,[u'Section 01'], ,EE212,"[u'Oriented to general engineering and science students. Topics included are: 1) microfabrication of silicon, glass, and polymer materials; 2) microfluidics and electrokinetics; 3) sensors, actuators, and drug-delivery systems; 4) micro total-analysis systems and lab-on-a-chip devices; 5) detection and measuring systems; 6) genomics, proteomics, DNA, and protein microarrays; 7) emerging applications in medicine, research, and homeland security; 8) packaging, power systems, data communication, and RF safety; and 9) biocompatibility and standards. Recommended for advanced undergraduates and graduate students in bioengineering, electrical engineering, chemistry, and health-related fields including biochemistry, molecular and cellular biology, physiology, and genetics. Enrollment restricted to graduate students, or by permission of the instructor. J. Kubby', u'5 Credits']"
 , ,Tutorial, , ,EE199F,"[u'Individual directed study for upper-division undergraduates. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Independent Field Study, , ,EE198F,"[u'Provides for department-sponsored individual study program off campus for which faculty supervision is not in person, but by correspondence. Students submit petition to sponsoring agency. The Staff', u'2 Credits']"
 , ,Tutorial, , ,EE199,"[u'Individual directed study for upper-division undergraduates. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Individual Study or Research, , ,EE198,"[u'Provides for department-sponsored individual study program off campus, for which faculty supervision is not in person, but by correspondence. Students submit petition to sponsoring agency. The Staff', u'5 Credits']"
 , ,Senior Thesis Research, , ,EE195,"[u'Individual directed study for upper-division undergraduates. Students submit petition to sponsoring agency. If using this course to replace the capstone design requirement (courses 123A and 123B), students must take course 157 or Computer Engineering 118 to fulfill the ABET team design experience. The Staff', u'5 Credits']"
 , ,Senior Thesis Research, , ,EE195F,"[u'Prerequisite(s): petition on file with sponsoring agency. Students submit petition to sponsoring agency. The Staff', u'2 Credits']"
 , ,Field Study, , ,EE193F,"[u'Provides for individual programs of study with specific academic objectives carried out under the direction of a faculty member of the electrical engineering program and a willing sponsor at the field site and using resources not normally available on campus. Credit is based on the presentation of evidence of achieving the objectives by submitting a written and oral presentation. May not normally be repeated for credit. The Staff', u'2 Credits']"
 , ,Special Topics in Electrical Engineering, , ,EE192,[]
 , ,Field Study, ,[u'Section 01'],EE193,"[u'Provides for individual programs of study with specific academic objectives carried out under the direction of a faculty member of the electrical engineering program and a willing sponsor at the field site and using resources not normally available on campus. Credit is based on the presentation of evidence of achieving the objectives by submitting a written and oral presentation. May not normally be repeated for credit. The Staff', u'5 Credits']"
 , ,Device Electronics, ,[u'Section 01'],EE178,"[u""This course reviews the fundamental principles, device's materials, and design and introduces the operation of several semiconductor devices. Topics include the motion of charge carriers in solids, equilibrium statistics, the electronic structure of solids, doping, the pn junction, the junction transistor, the Schottky diode, the field-effect transistor, the light-emitting diode, and the photodiode. Prerequisite(s): courses 145/L and 171/L. Enrollment restricted to School of Engineering and Division of Physical and Biological Sciences majors or permission of instructor. C. Gu, K. Pedrotti, W. Liu"", u'5 Credits']"
 , ,Advanced Renewable Energy Sources, ,[u'Section 01'],EE180J,"[u'Provides a comprehensive overview of renewable energy sources. Fundamental energy-conversion limits based on physics and existing material properties discussed. Various sources and devices, such as solar, wind, hydropower, geothermal, and fuel cells described. Solar- and wind-site assessment, as well as biofuel energy balance, also discussed. Key scientific and economic roadblocks for large-scale implementation examined. Finally, the latest research on application of nanotechnology to energy conversion and storage introduced. Taught in conjunction with course 80J.  Enrollment limited to 30.  Prerequisite(s): Mathematics 3 or Applied Mathematics and Statistics 3, 5 or 7.  Enrollment limited to 30.  A. Shakouri', u'5 Credits']"
 , ,Renewable Energy Sources in Practice, , ,EE181J,"[u'Provides a fundamental understanding of renewable energies in practice by experiencing them in a functional context. Students visit and evaluate renewable-energy facilities, such as wind power, solar energy, hydrogen storage, biofuel production, waste-water testing facilities, biomass, biodiesel, and biogas. This intensive one-month program allows students to carry out applied research in a real-life, industrial-scale, renewable-energy context. Prerequisite(s): course 80J or equivalent. Enrollment restricted to junior, senior, and graduate students and by permission of instructor.  A. Shakouri', u'5 Credits']"
 ,[u'Section 01'],Special Topics in Electrical Engineering, , ,EE183,"[u'Topics vary with instructor. Sample topics include smart grids, bioelectronics, antennas, etc. Enrollment by instructor permission. Approval of undergraduate adviser required for credit as an upper-division elective.', u'5 Credits']"
 ,[u'Section 01'],Power Electronics Laboratory, , ,EE177L,"[u'Buck, boost, buck-boost, flyback, and forward converter design and control. Students are billed a materials fee.  Prerequisite(s): EE 103, concurrent enrollment in EE 177.', u'2 Credits']"
 , ,Energy Conversion and Control Laboratory,[u'Section 01'], ,EE176L,"[u'Simulink-based simulations of electric machines/drives in applications such as energy conservation and motion control in robotics and electric vehicles. Prerequisite(s):  EE 103, EE 171, concurrent enrollment in EE 176.', u'2 Credits']"
 ,[u'Section 01'],Power Electronics, , ,EE177,"[u'Switch-mode power converter design and analysis. Now-switching power supplies. Electronic power-factor correction. Soft switching. Power-semiconductor devices. Use in energy conservation, renewable energy, lighting, and power transmission. Prerequisite(s): EE 103. Concurrent enrollment in EE 177L.', u'5 Credits']"
 , ,Energy Conversion and Control,[u'Section 01'], ,EE176,"[u'AC/DC electric-machine drives for speed/position control. Integrated discussion of electric machines, power electronics, and control systems. Computer simulations. Applications in electric transportation, hybrid-car technology, robotics, process control, and energy conservation.  Prerequisite(s): EE 103, EE 171, concurrent enrollment in EE 176L.', u'5 Credits']"
 , ,Energy Generation and Control Laboratory, ,[u'Section 01'],EE175L,"[u'Computer analysis and simulation of energy generation, components, power-flow analysis, systems, and control covering topics from course 195. Weekly computer simulations reinforce the concepts introduced in course 175.  Prerequisite(s): EE 101, concurrent enrollment in EE 175.', u'2 Credits']"
 , ,Advanced Analog Circuits, ,[u'Section 01'],EE172,"[u'Analog circuit design covering the basic amplifier configurations, current mirrors, differential amplifiers, frequency response, feedback amplifiers, noise, bandgap references, one- and two-stage operational amplifier design, feedback amplifier stability, switch capacitor circuits and optionally the fundamentals of digital-to-analog and analog-to-digital converters. Emphasis throughout will be on the development of approximate and intuitive methods for understanding and designing circuits. Cannot receive credit for this course and course 221. Prerequisite(s): course 171. K. Pedrotti, W. Liu', u'5 Credits']"
 , ,Energy Generation and Control, ,[u'Section 01'],EE175,"[u'Introduces electrical energy generation, sensing, and control, emphasizing the emerging smart grid. Topics include 3-phase AC power systems, voltage and transient stability, fault analysis, grid protection, power-flow analysis, economic dispatch, and high voltage DC distribution (HVDC). Prerequisite(s): EE 101, concurrent enrollment in EE 175L.', u'5 Credits']"
 , ,Analog Electronics Laboratory, ,[u'Section 01'],EE171L,"[u'Laboratory sequence illustrating topics covered in course 171. One two-hour laboratory session per week. Students are billed a materials fee. Prerequisite(s): 101/L; previous or concurrent enrollment in course 171 required. C. Gu, K. Pedrotti, A. Shakouri, W. Liu', u'2 Credits']"
 , ,Analog Electronics, ,[u'Section 01'],EE171,"[u'Introduction to (semiconductor) electronic devices. Conduction of electric currents in semiconductors, the semiconductor p-n junction, the transistor. Analysis and synthesis of linear and nonlinear electronic circuits containing diodes and transistors. Biasing, small signal models, frequency response, and feedback. Operational amplifiers and integrated circuits. Prerequisite(s): course 101/L; previous or concurrent enrollment in course 171L required. C. Gu, K. Pedrotti, A. Shakouri, W. Liu', u'5 Credits']"
 , ,Feedback Control Systems,[u'Section 01'], ,EE154,"[u'Analysis and design of continuous linear feedback control systems. Essential principles and advantages of feedback. Design by root locus, frequency response, and state space methods and comparisons of these techniques. Applications. Prerequisite(s): course 103. Enrollment restricted to School of Engineering and Division of Physical and Biological Sciences majors or permission of instructor. Enrollment limited to 30. P. Milanfar, P. Mantey, W. Dunbar, J. Rosen, G. Elkaim', u'5 Credits']"
 ,[u'Section 01'],Introduction to Wireless Communications, , ,EE152,"[u'Introduction to the principles of wireless communications systems. Wireless propagation channels and their impact on digital communications. Modulation techniques for wireless systems and their performance. Multi-antenna systems and diversity. Multicarrier and spread spectrum. Multi-access methods: FDMA, TDMA, CDMA. The structure of cellular systems. Students cannot receive credit for this course and course 252. Prerequisite(s): Computer Engineering 107 and course 151, or by consent of instructor. Enrollment restricted to juniors and seniors. B. Friedlander', u'5 Credits']"
 ,[u'Section 01'],Communications Systems, , ,EE151,"[u'An introduction to communication systems. Analysis and design of communication systems based on radio, transmission lines, and fiber optics. Topics include fundamentals of analog and digital signal transmission in the context of baseband communications, including concepts such as modulation and demodulation techniques, multiplexing and multiple access, channel loss, distortion, bandwidth, signal-to-noise ratios and error control. Digital communication concepts include an introduction to sampling and quantization, transmission coding and error control. Prerequisite(s): courses 103, 101/L, and Computer Engineering 107 or probability theory and random variables background. Enrollment restricted to School of Engineering and Division of Physical and Biological Sciences majors or permission of instructor. B. Friedlander, P. Mantey', u'5 Credits']"
 ,[u'Section 01'],RF Hardware Design, , ,EE157,"[u'Engineering design cycle for wireless and RF systems: design, practical hardware implementation, and prototype.   ', u'\r\n Prerequisite(s): courses 101/L, 103, and 171, and Computer Engineering 174; or consent of instructor. Concurrent enrollment in course 157L is required.  Enrollment limited to 30.  K. Pedrotti, S. Petersen', u'5 Credits']"
 ,[u'Section 01'],RF Hardware Design, , ,EE157L,"[u'Laboratory to accompany course 157, emphasizing hardware-design practice and principles applies to RF apparatus. Students design and implement a substantial final project during the last half of the course.  Prerequisite(s): courses 101/L, 103, 171, and Computer Engineering 174; or consent of instructor.  Concurrent enrollment in course 157 is required.  Enrollment limited to 30.  K. Pedrotti, S. Petersen', u'2 Credits']"
 , ,Digital Signal Processing, ,[u'Section 01'],EE153,"[u'Introduction to the principles of signal processing, including discrete-time signals and systems, the z-transform, sampling of continuous-time signals, transform analysis of linear time-invariant systems, structures for discrete-time systems, the discrete fourier transform, computation of the discrete fourier transform, and filter design techniques. Taught in conjunction with Electrical Engineering 250. Students cannot receive credit for this course and Electrical Engineering 250. (Also offered as Computer Engineering 153. Students cannot receive credit for both courses.) Prerequisite(s): course 103. Enrollment restricted to School of Engineering and Division of Physical and Biological Sciences majors or permission of instructor. H. Sadjadpour, P. Milanfar', u'5 Credits']"
 , ,Properties of Materials Laboratory,[u'Section 01'], ,EE145L,"[u'Laboratory sequence illustrating topics covered in course 145. One two-hour laboratory per week. Students are billed a materials fee. Prerequisite(s): Physics 5A/L, 5B/M, and 5C/N or 6A/L, 6B/M, and 6C/N. Students must also concurrently enroll in course 145. H. Schmidt, A. Shakouri, J. Kubby, N. Kobayashi', u'2 Credits']"
 , ,Properties of Materials,[u'Section 01'], ,EE145,"[u'The fundamental electrical, optical, and magnetic properties of materials, with emphasis on metals and semiconductors: chemical bonds, crystal structures, elementary quantum mechanics, energy bands. Electrical and thermal conduction. Optical and magnetic properties. Prerequisite(s): Physics 5A/L, 5B/M, and 5C/N or 6A/L, 6B/M, and 6C/N. Students must also concurrently enroll in course 145L.  H. Schmidt, A. Shakouri, J. Kubby, N. Kobayashi', u'5 Credits']"
 , ,Introduction to Optoelectronics Laboratory,[u'Section 01'], ,EE130L,"[u'Includes a series of projects to provide hands-on experience needed for basic concepts and laboratory techniques of optical fiber technology. Students are billed a materials fee. Prerequisite(s): Physics 5L-M-N, or 6L-M-N; concurrent enrollment in course 130. Enrollment limited to 30. C. Gu', u'1 Credits']"
 , ,Engineering Electromagnetics, ,[u'Section 01'],EE136,"[u'Course will cover electromagnetic wave propagation, transmission lines, waveguides, and antennas. Prerequisite(s): course 135/L. Enrollment restricted to School of Engineering and Division of Physical and Biological Sciences majors or permission of instructor.  M. Isaacson, The Staff', u'5 Credits']"
 ,[u'Section 01'],Capstone Project II, , ,EE129B,"[u'Second of a three-course sequence in which students apply knowledge and skills gained in elective track to complete a major design project. In this second course, students complete the training, research, and procurement for a substantial project and a preliminary implementation. ', u'\r\nPrerequisite(s): courses 129A and 171; and Computer Engineering 100; and Computer Engineering 185; and previous or concurrent enrollment in course 157 or Computer Engineering 118 or Computer Engineering 121. Enrollment restricted to seniors. Enrollment by permission of instructor.  General Education code(s): Practice: PR-E collaborative endeavor.  J. Vesecky, S. Petersen', u'5 Credits']"
 , ,Introduction to Optoelectronics and Photonics,[u'Section 01'], ,EE130,"[u'Introduction to optics, photonics and optoelectronics, fiber optic devices and communication systems: Topics include: ray optics, electromagnetic optics, resonator optics, interaction between photons and atoms, dielectric waveguides and fibers, semiconductor light sources and detectors, modulators, amplifiers, switches, and optical fiber communication systems. Taught in conjunction with course 230. Students cannot receive credit for this course and course 230. Prerequisite(s): Physics 5B and 5C, or 6B and 6C; concurrent enrollment in course 130L. C. Gu', u'5 Credits']"
 ,[u'Section 01'],Electromagnetic Fields and Waves, , ,EE135,"[u""Vector analysis. Electrostatic fields. Magnetostatic fields. Time-varying fields and Maxwell's equations. Plane waves. Concurrently enrollment in course 135L required. Students must concurrently enroll in course 135L. Prerequisite(s): course 101/L, Mathematics 23B and Mathematics 24 or Applied Mathematics and Statistics 20 or 20A. Students must concurrently enroll in course 135L.  M. Isaacson, The Staff"", u'5 Credits']"
 , ,Capstone Project I,[u'Section 01'], ,EE129A,"[u'First of a three-course sequence in which students apply knowledge and skills gained in elective track to complete a major design project. In this first course, students complete the specification and planning for a substantial project. Topics covered: engineering design cycle, engineering teams, and professional practices. Prerequisite(s): course 171; and Computer Engineering 100; and Computer Engineering 185; and previous or concurrent enrollment in course 157 or Computer Engineering 118 or Computer Engineering 121. Enrollment restricted to seniors. Enrollment by permission of instructor.  J. Vesecky, S. Petersen', u'2 Credits']"
 , ,Capstone Project III, ,[u'Section 01'],EE129C,"[u'Third of a three-course sequence in which students apply knowledge and skills gained in this elective track to complete a major design project. In this third course, students work in teams to complete the project specified and advance on the results of  the work in the first two courses. A formal written report, oral presentation, and demonstration of the successful project to a review panel of engineering faculty is required. Prerequisite(s): courses 129B and 171; and Computer Engineering 100; and Computer Engineering 185; and previous or concurrent enrollment in course 157 or Computer Engineering 118 or Computer Engineering 121. Enrollment restricted to seniors. Enrollment by permission of instructor. General Education Code(s): Practice:  PR-E collaborative endeavor. J. Vesecky, S. Petersen', u'5 Credits']"
 ,[u'Section 01'],Electromagnetic Fields and Waves Laboratory, , ,EE135L,"[u'Laboratory sequence illustrating topics in course 135. One two-hour laboratory session per week. Students must concurrently enroll in course 135. Students are billed a materials fee. Prerequisite(s): course 101/L; Mathematics 23B; and Mathematics 24 or Applied Mathematics and Statistics 20 or 20A. Students must concurrently enroll in course 135.   Students must concurrently enroll in course 135. M. Isaacson, The Staff', u'2 Credits']"
 ,[u'Section 01'],Collaborative Sustainability Project Design,[u'Section 01'],[u'Section 01'],EE122,"[u'This course is the first quarter of a year-long course, the IDEASS Program (Impact Designs: Engineering and Sustainability through Student Service), focusing on planning, implementing, and evaluating interdisciplinary projects that address sustainability in the built environment in the Monterey Bay community and at UCSC. Enrollment by interview only. Application period in Spring of prior year, with short essays and documentation of prior experience. Interview Only.  M. Isaacson', u'5 Credits']"
 , ,Engineering Design Project II, ,"[u'Section 01', u'Section 02']",EE123B,"[u'Second of two-course sequence in engineering system design. Students fully implement and test system designed and specified in course 123A. Formal written report, oral presentation, and demonstration of successful project to review panel of engineering faculty required. Students are billed a materials fee. (Also offered as Biomolecular Engineering 123B and Computer Engineering 123B. Students cannot receive credit for all courses.) Prerequisite(s): course 123A. Enrollment limited to 35. The Staff', u'7 Credits']"
 , ,Introduction to Micro-Electro-Mechanical-Systems Design,[u'Section 01'], ,EE115,"[u'Begins with overview of MEMS devices and processes that are used to fabricate them. The basic governing equations for MEMS devices in different energy domains (mechanical, electrical, optical, thermal, and fluidic) reviewed, and both analytical and finite element coupled-domain modeling is used to design MEMS devices. Students work in teams to design, lay out, and fabricate MEMS devices and test structures using a standard multi-user process available through a foundry service. A presentation and term paper describing the design and layout will be required. Prerequisite(s): courses 101/L, 135/L, 145/L, Mathematics 19A and 19B, Mathematics 23A and 23B and Mathematics 24 or Applied Mathematics and Statistics 20 or 20A, Physics 5A, 5B, 5C, and 5D.  Enrollment limited to 15. J. Kubby', u'5 Credits']"
 ,"[u'Section 01', u'Section 02']",Engineering Design Project I, , ,EE123A,"[u'First of a two-course sequence that is the culmination of the engineering program. Students apply knowledge and skills gained in elective track to complete a major design project. Students complete research, specification, planning, and procurement for a substantial project. Includes technical discussions, design reviews, and formal presentations; engineering design cycle, engineering teams, and professional practices. Formal technical specification of the approved project is presented to faculty. Prerequisite(s): Course 171 and Computer Engineering 100; previous or concurrent enrollment in Computer Engineering 185; previous or concurrent enrollment in at least one of the following three courses; course 157 or Computer Engineering 121 or Computer Engineering 118; permission of department and instructor. Taught in conjunction with CMPE 123A.  Students are billed a materials fee. (Also offered as Biomolecular Engineering 123A and Computer Engineering 123A. Students cannot receive credit for all courses.) The Staff', u'5 Credits']"
 , ,Signals and Systems,[u'Section 01'],[u'Section 01'],EE103,"[u'The course covers the following topics: characterization and analysis of continuous-time signals and linear systems, time domain analysis using convolution, frequency domain analysis using the Fourier series and the Fourier transform, the Laplace transform, transfer functions and block diagrams, continuous-time filters, sampling of continuous time signals, examples of applications to communications and control systems. Prerequisite(s): courses 101/L and Applied Mathematics and Statistics 20 or 20A.   B. Friedlander,  H. Sadjadpour', u'5 Credits']"
 ,[u'Section 01'],Introduction to Electronic Circuits Laboratory,[u'Section 01'], ,EE101L,"[u'Illustrates topics covered in course 101. One two-hour laboratory session per week. Students are billed for a materials fee.  (Formerly course 70L.)  Prerequisite (s):  Physics 5C/N or 6C/N and Mathematics 24 or previous or concurrent enrollment in Applied Mathematics and Statistics 20 or 20A.  Concurrent enrollment in course 101 is required.  H. Schmidt, J. Kubby, A. Shakouri, W. Liu, K. Pedrotti', u'2 Credits']"
 , ,Bio-electronics and Bio-instrumentations, ,[u'Section 01'],EE104,"[u'Focuses on the analysis, design, and measurement of components and systems of biomedical devices which interface biological systems with electronics mechanics, and optics. Topics include: abiotic/biotic interface; low-power analog/digital circuits and systems; signal integrity; energy harvesting; wireless techniques; regulatory/ethic compliance tailored for both invasive and non-invasive biomedical applications.  Pre-requisite(s):  EE 103.   W. Liu', u'5 Credits']"
 , ,Signals and Systems Lab,[u'Section 01'],[u'Section 01'],EE103L,"[u'Use and operation of spectrum analyzers; advanced signal analysis using oscilloscopes; measuring impulse response, step response, frequency response, and computer analysis of real signals. MATLAB programming is taught and used as a tool for signal analysis. Pre-requisite(s): course 101 and 101L, and Applied Mathematics and Statistics 20 or 20A. Concurrent enrollment in course 103 required.', u'2 Credits']"
 , ,Group Tutorial, , ,EE94F,"[u'A means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 ,[u'Section 01'],Introduction to Electronic Circuits,[u'Section 01'], ,EE101,"[u'Introduction to the physical basis and mathematical models of electrical components and circuits. Topics include circuit theorems (Thevenin and Norton Equivalents, Superposition), constant and sinusiodal inputs, natural and forced response of linear circuits. Introduction to circuit/network design, maximum power transfer, analog filters and circuit analysis using Matlab.  Topics in elementary electronics including ampliphiers and feedback.  (Formerly course 70.)  Prerequisite (s): Physics 5C/N or 6C/N and Mathematics 24 or previous or concurrent enrollment in Applied Mathematics and Statistics 20 or 20A.  Concurrent enrollment in course 101L is required.  H. Schmidt, K. Pedrotti,  J. Kubby, W. Liu, A. Shakouri', u'5 Credits']"
 , ,Tutorial, , ,EE99,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Tutorial, , ,EE99F,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Designing a Sustainable Future, ,[u'Section 01'],EE81C,"[u'Introduces key technological solutions to environmental problems; discusses their underlying principles; and examines their societal dimensions. Topics include: conventional and renewable energy; emerging technologies for transportation, energy efficiency clean water; planetary engineering; and lean manufacturing.', u'5 Credits']"
 , ,Sustainability Engineering and Practice,[u'Section 01'], ,EE80S,"[u'Topical introduction to principles and practices of sustainability engineering and ecological design with emphasis on implementation in society. Provides an understanding of basic scientific, engineering, and social principles in the design, deployment, and operation of resource-based human systems, and how they can be maintained for this and future generations. No specialized background in engineering, science, or social sciences is assumed. (General Education Code(s): T7-Natural Sciences or Social Sciences, PE-E - Environmental Awareness.) A. Shakouri', u'5 Credits']"
 ,[u'Section 01'],Modern Electronic Technology and How It Works, , ,EE80T,"[u'Basic knowledge of electricity and ""how things work,"" how technology evolves, its impact on society and history, and basic technical literacy for the non-specialist. Broad overview of professional aspects of engineering and introduction and overview of basic systems and components. Topics include electrical power, radio, television, radar, computers, robots, telecommunications, and the Internet. (General Education Code(s): SI, T2) K. Pedrotti', u'5 Credits']"
 , ,Group Tutorial, , ,EE94,"[u'A means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Renewable Energy Sources, ,[u'Section 01'],EE80J,"[u'Introduction to energy storage and conversion with special emphasis on renewable sources. Fundamental energy conversion limits based on physics and existing material properties. Various sources, such as solar, wind, hydropower, geothermal, and fuel cells described. Cost-benefit analysis of different alternative sources performed, and key roadblocks for large-scale implementation examined. Latest research on solar cells and applications of nanotechnology on energy conversion and storage introduced. Students cannot receive credit for this course and course 81J.(General Education Code(s): T2-Natural Sciences, PE-E - Environmental Awareness.) A. Shakouri', u'5 Credits']"
 ,[u'Section 01'],Introduction to Electronic Circuits Laboratory,[u'Section 01'], ,EE70L,"[u'Laboratory sequence illustrating topics covered in course 70. One two-hour laboratory session per week. Students are billed a materials fee. Prerequisite(s): Physics 5C/N or 6C/N, and Mathematics 24 or Applied Mathematics and Statistics 27. Students must enroll concurrently in course 70. H. Schmidt, P. Mantey, K. Pedrotti, A. Shakouri, W. Liu, J. Kubby', u'1 Credits']"
 , ,Thesis Research, , ,CMPS299,"[u'Thesis research conducted under faculty supervision. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'1 Credits']"
 , ,Independent Study or Research, , ,CMPS297F,"[u'Independent study or research under faculty supervision. Formerly offered as ""Directed Readings in Machine Learning. May be repeated for credit. The Staff', u'2 Credits']"
 ,[u'Section 01'],Introduction to Electronic Circuits,[u'Section 01'], ,EE70,"[u'Introduction to the physical basis and mathematical models of electrical components and circuits. Topics include circuit theorems, constant and sinusoidal inputs, natural and forced response of linear circuits. Introduction to circuit/network design, maximum power transfer, and analog filters. Topics in elementary electronics: diode and transistor devices, linear models, amplifiers, feedback. Nonlinear elements and devices also introduced. Prerequisite(s): Physics 5C/N or 6C/N, and Mathematics 24 or Applied Mathematics and Statistics 27. Students must enroll concurrently in course 70L. H. Schmidt, P. Mantey, K. Pedrotti, A. Shakouri, W. Liu, J. Kubby', u'5 Credits']"
 , ,Quantum Computing, ,[u'Section 01'],CMPS290Y,[]
 , ,Independent Study or Research, , ,CMPS297,"[u'Independent study or research under faculty supervision. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Masters Project, , ,CMPS296,"[u'Independent completion of a masters project under faculty supervision. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Topics in Computing for Society, ,[u'Section 01'],CMPS290T,"[u'Current research topics on computer technology that is intentionally targeted to benefiting society. Topics vary year to year. Students read papers from current conferences and journals, and present class lectures. A research project is required. Enrollment restricted to graduate students. May be repeated for credit. J. Davis', u'5 Credits']"
